,session_start_time,intercept,stim_contrast,stim_contrast_minus_1,response_cw_minus_1,response_cw
27850,2019-11-05T09:45:07Z,1,0.25,-1.0,1,False
27851,2019-11-05T09:45:07Z,1,0.125,1.0,0,False
27852,2019-11-05T09:45:07Z,1,0.0,1.0,0,False
27853,2019-11-05T09:45:07Z,1,1.0,0.0,0,False
27854,2019-11-05T09:45:07Z,1,0.0625,1.0,0,False
27855,2019-11-05T09:45:07Z,1,-0.0625,1.0,0,False
27856,2019-11-05T09:45:07Z,1,1.0,-1.0,0,False
27857,2019-11-05T09:45:07Z,1,0.0,1.0,0,True
27858,2019-11-05T09:45:07Z,1,-0.0625,0.0,1,False
27859,2019-11-05T09:45:07Z,1,0.0625,-1.0,0,True
27860,2019-11-05T09:45:07Z,1,1.0,1.0,1,False
27861,2019-11-05T09:45:07Z,1,1.0,1.0,0,False
27862,2019-11-05T09:45:07Z,1,0.0625,1.0,0,False
27863,2019-11-05T09:45:07Z,1,-0.125,1.0,0,False
27864,2019-11-05T09:45:07Z,1,-0.0625,-1.0,0,False
27865,2019-11-05T09:45:07Z,1,-0.0625,-1.0,0,False
27866,2019-11-05T09:45:07Z,1,1.0,-1.0,0,False
27867,2019-11-05T09:45:07Z,1,0.0625,1.0,0,False
27868,2019-11-05T09:45:07Z,1,-0.25,1.0,0,True
27869,2019-11-05T09:45:07Z,1,-1.0,-1.0,1,True
27870,2019-11-05T09:45:07Z,1,0.125,-1.0,1,False
27871,2019-11-05T09:45:07Z,1,0.0625,1.0,0,False
27872,2019-11-05T09:45:07Z,1,-0.25,1.0,0,True
27873,2019-11-05T09:45:07Z,1,0.0,-1.0,1,True
27874,2019-11-05T09:45:07Z,1,-0.0625,0.0,1,True
27875,2019-11-06T09:41:05Z,1,-0.25,-1.0,1,True
27876,2019-11-06T09:41:05Z,1,0.125,-1.0,1,True
27877,2019-11-06T09:41:05Z,1,-0.0625,1.0,1,False
27878,2019-11-06T09:41:05Z,1,1.0,-1.0,0,False
27879,2019-11-06T09:41:05Z,1,1.0,1.0,0,False
27880,2019-11-06T09:41:05Z,1,0.125,1.0,0,False
27881,2019-11-06T09:41:05Z,1,-0.0625,1.0,0,True
27882,2019-11-06T09:41:05Z,1,0.0,-1.0,1,False
27883,2019-11-06T09:41:05Z,1,0.25,0.0,0,False
27884,2019-11-06T09:41:05Z,1,0.0,1.0,0,False
27885,2019-11-06T09:41:05Z,1,-0.25,0.0,0,True
27886,2019-11-06T09:41:05Z,1,0.0,-1.0,1,False
27887,2019-11-06T09:41:05Z,1,-0.25,0.0,0,True
27888,2019-11-06T09:41:05Z,1,-0.25,-1.0,1,True
27889,2019-11-06T09:41:05Z,1,-0.125,-1.0,1,True
27890,2019-11-06T09:41:05Z,1,-0.125,-1.0,1,True
27891,2019-11-06T09:41:05Z,1,-0.0625,-1.0,1,True
27892,2019-11-06T09:41:05Z,1,-0.0625,-1.0,1,True
27893,2019-11-06T09:41:05Z,1,-0.0625,-1.0,1,True
27894,2019-11-06T09:41:05Z,1,-0.25,-1.0,1,True
27895,2019-11-06T09:41:05Z,1,0.0,-1.0,1,True
27896,2019-11-06T09:41:05Z,1,-0.25,0.0,1,True
27897,2019-11-06T09:41:05Z,1,-0.0625,-1.0,1,True
